-0.313988 0.610291 -0.727294 -0.345387	0.671321	-0.800024
-0.202861 0.701463 -0.683226 -0.223147	0.771609	-0.751549
-0.12001 0.742372 -0.659152 -0.132011	0.816609	-0.725068
-0.0478587 0.764852 -0.642474 -0.0526444	0.841335	-0.70672
0.0178339 0.776206 -0.630249 0.0196173	0.853826	-0.693273
0.0790898 0.779709 -0.62114 0.0869987	0.857679	-0.683254
0.13688 0.77693 -0.614535 0.150568	0.854623	-0.675989
0.191902 0.768793 -0.610032 0.211093	0.845672	-0.671035
0.244623 0.755806 -0.607391 0.269085	0.831387	-0.66813
0.295277 0.738197 -0.606533 0.324804	0.812017	-0.667186
0.344098 0.716007 -0.607402 0.378508	0.787607	-0.668142
0.391237 0.68907 -0.61002 0.430361	0.757976	-0.671022
0.43669 0.657008 -0.614535 0.480359	0.722708	-0.675988
0.480453 0.619154 -0.621152 0.528498	0.681069	-0.683267
0.5224 0.574396 -0.630236 0.574639	0.631834	-0.693258
0.562137 0.520857 -0.642473 0.618349	0.572941	-0.706718
0.598877 0.454797 -0.65917 0.658765	0.500277	-0.725087
0.63067 0.368084 -0.683206 0.693737	0.404893	-0.751527
0.648261 0.225408 -0.727289 0.713087	0.247948	-0.800018
-0.344559 0.673903 -0.653571 -0.379014	0.741293	-0.718927
-0.240634 0.749445 -0.616788 -0.264698	0.82439	-0.678466
-0.158121 0.788765 -0.594072 -0.173933	0.867639	-0.653477
-0.085449 0.81178 -0.577701 -0.0939938	0.892957	-0.63547
-0.0189304 0.824678 -0.565297 -0.0208235	0.907145	-0.621826
0.0431864 0.83023 -0.555751 0.0475051	0.913252	-0.611326
0.101957 0.829949 -0.548447 0.112153	0.912944	-0.603291
0.157957 0.824704 -0.543062 0.173753	0.907174	-0.597368
0.211667 0.815045 -0.539351 0.232834	0.89655	-0.593286
0.263434 0.801289 -0.53716 0.289778	0.881417	-0.590876
0.313428 0.783576 -0.536446 0.344771	0.861933	-0.590091
0.361844 0.761918 -0.53717 0.398029	0.83811	-0.590887
0.408823 0.736192 -0.53934 0.449705	0.809811	-0.593274
0.454375 0.706138 -0.543062 0.499813	0.776751	-0.597368
0.498543 0.671308 -0.548457 0.548397	0.738438	-0.603303
0.541297 0.630997 -0.55574 0.595427	0.694096	-0.611314
0.582448 0.584128 -0.565296 0.640693	0.642541	-0.621825
0.62172 0.528899 -0.577716 0.683892	0.581788	-0.635487
0.658477 0.462146 -0.594057 0.724322	0.508359	-0.653461
